name,industry/0,founded/0,founders/0,founders/1,revenue/0,website/0,website/1,website/2,headquarters/0,headquarters/1,type/0,industry/1,industry/2,revenue/1,revenue/2,operating_income/0,operating_income/1,operating_income/2,operating_income/3,operating_income/4,operating_income/5,total_assets/0,total_assets/1,total_assets/2,total_assets/3,total_assets/4,total_assets/5,number_of_employees/0,number_of_employees/1,number_of_employees/2,founders/2,founded/1,services/0,services/1,services/2,services/3,services/4,services/5,services/6,services/7,services/8,services/9,services/10,services/11,founded/2,founded/3,founded/4,revenue/3,revenue/4,revenue/5,revenue/6,revenue/7,revenue/8,website/3,website/4,headquarters/2,industry/3,founders/3,founders/4,number_of_employees/3,website/5,type/1,headquarters/3,industry/4,industry/5,type/2,headquarters/4,headquarters/5,type/3,type/4,website/6,website/7,website/8,website/9,website/10,website/11,website/12,website/13,founded/5,headquarters/6,number_of_employees/4,number_of_employees/5,founded/6,headquarters/7,headquarters/8,headquarters/9,headquarters/10,headquarters/11,total_assets/6,key_people/0,key_people/1,key_people/2,key_people/3,key_people/4,key_people/5,key_people/6,key_people/7,key_people/8,industry/6,industry/7,founded/7,founded/8,founded/9,founders/5,founders/6,founders/7,operating_income/6,operating_income/7,total_assets/7,number_of_employees/6,number_of_employees/7,number_of_employees/8,operating_income/8,operating_income/9,operating_income/10,operating_income/11,operating_income/12,number_of_employees/9,number_of_employees/10,number_of_employees/11,number_of_employees/12,number_of_employees/13,number_of_employees/14,industry/8,founders/8
Binance,cryptocurrency industry ,July 2017," (""CZ"")",Yi He,US$,www,.binance,.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gourmet Master Co. Ltd,Food and Beverage,2004,,,NT$,www.85cafe.com,[1],www.85cbakerycafe.com,Taipei,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tata Consultancy Services,Information technology,1968,J. R. D. Tata,, ,www,.tcs,.com,Mumbai,Maharashtra,Public,Consulting,Outsourcing, (US$25 billion), (2022), ,₹,"51,687 crore", (US$6.5 billion),[1], (2022), ,₹,"141,514 crore", (US$18 billion),[2], (2022),"616,171",[3], (October 2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"APMEX, Inc.",precious metals,2000,,,,www.apmex.com,,,"Oklahoma City, Oklahoma",United States,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitmain Technologies Ltd.,Cryptocurrency,2013,Micree Zhan,Jihan Wu,,bitmain,.com,,"Beijing, China",,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BitGo, Inc.",,,,,,,,,"Palo Alto, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnson & Johnson,Pharmaceutical,"New Brunswick, New Jersey",Robert Wood Johnson I,James Wood Johnson, ,jnj.com,,,"New Brunswick, New Jersey",U.S.,Public,Medical Technology,Consumer Healthcare, ,, ,US$22.776 billion, ,(2021),[4],, ,US$182.018 billion, ,(2021),,," 144,500 ",(2021),[5],Edward Mead Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft Corporation,Information technology,"April 4, 1975",Bill Gates,Paul Allen, ,microsoft.com,,,One Microsoft Way,"Redmond, Washington",Public,,, (2022),, ,US$83.4 billion, (2022),,,, ,US$364.8 billion, (2022),,,,"221,000 (2022)",,,, in ,Azure,Bing,LinkedIn,Yammer,Microsoft 365,OneDrive,Outlook.com,GitHub,Microsoft Store,Windows Update,Xbox Game Pass,Xbox network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bitfinex, Inc.",,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walmart Inc.,Retail,"July 2, 1962",Sam Walton,, ,walmart.com,,,"Bentonville, Arkansas",,Public,,, ,US$, ,US$25.9 billion, (FY2022),[5],,, , ,US$244.86 billion, (FY2022),[5], ,"2,300,000 (Jan. 2022)",[5],,, in ,Walmart-2-Walmart,,,,,,,,,,,,"October 31, 1969", in , (incorporation),572.8 billion, (,FY,2022),[5], ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitcoin.com,Cryptocurrency,,,,,,,,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bewley's Limited,Beverages,Dublin,Charles Bewley,,€,www,.bewleys,.com,"Northern Cross, Malahide Road, Dublin, Ireland",,Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/ie,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bridgehead,"Coffee, Coffee Roaster, Coffee Beans",1981,,,,www,.bridgehead,.ca,Ottawa,Ontario,coffeehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blue Bottle Coffee, Inc.",Coffee industry,2002,W. James Freeman,,,bluebottlecoffee.com,,,Oakland,California,Private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aroma Espresso Bar Ltd.,,Israel,,,,Aroma Israel,Aroma Canada,Aroma US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwarz Group,Retail,1930,,,€ 125.3 billion (FY 2020/21),https://gruppe.schwarz/en,,,Neckarsulm,,Private,,,,,,,,,,,,,,,,,"500,000 (FY 2020/21)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JD.com, Inc. (京东)",E-commerce,6 June 2009,Liu Qiangdong,, ,www,.joybuy,.com,Beijing,,Public,Artificial intelligence,Robotics,"951.592 billion (US$149.325 billion, 2021)",, ,¥ RMB,"4.141 billion (US$649,805 million, 2021)",[1],,, ,¥ RMB,"496.507 billion (US$77.913 billion, 2021)",[1],,,"310,000 (Dec 2020)",[1],,,,Online shopping,,,,,,,,,,,,,,,,,,,,,,,,Autonomous car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aldi,Retail,10 July 1946,Karl,Theo Albrecht,US$,aldi,.com,,Essen,Mülheim,Private,,,,,,,,,,,,,,,,,,,,,"(split in two parts in 1960, renamed to Aldi Nord and Aldi Süd in 1962)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Walgreens Boots Alliance, Inc.",Retail,"December 31, 2014",,, ,walgreensbootsalliance,.com,,"Deerfield, Illinois",,Public,pharmaceuticals,,US$,132.7 billion, US$1.387 billion (2022),,,,,, US$90.124 billion (2022),,,,,,c.," 325,000", (August 2022),,,,,,,,,,,,,,,,,, (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Home Depot, Inc.",Retailing,"Marietta, Georgia",Bernard Marcus,Arthur Blank, ,homedepot.com,,,"Atlanta, Georgia",,Public,,, (2021),, US$23.04 billion (2021),,,,,, US$71.88 billion (2021),,,,,,"490,600 (Dec 2021)",,,Ron Brill,,,,,,,,,,,,,,,,,,,,,,,,,,,Pat Farrah,Ken Langone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loblaw Companies Limited,Retail,Toronto,,, ,www,.loblaw,.ca,Brampton,,Public,,, (2020),,,,,,,,,,,,,,"almost 200,000 (2019)",[3],,,Ontario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Target Corporation,Retail,"June 24, 1902", (corporation), & , ,target.com,corporate.target.com,,1000 ,", U.S.",Public,,, (2021),, US$6.539 billion (2021),,,,,, US$51.248 billion (2021),,,,,,"409,000 (2020)",[2],, (store), (corporation),,,,,,,,,,,,,"January 5, 1962", (store),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVMH Moët Hennessy Louis Vuitton SE,Luxury goods,3 June 1987,Bernard Arnault, Alain Chevalier ,€,lvmh.com,,,Paris,,Public,,,,, €17.155 billion (2021),[2],,,,, €125.311 billion (2021),[2],,,,,"150,000 (2021)",[2],, Henry Racamier,,Department stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woolworths Group Limited,Retailing,22 September 1924,Percy Christmas,Stanley Chatterton,A$,www.woolworthsgroup.com.au,,,"Bella Vista, New South Wales",,Public,,,,, ,A$,3.19 billion ,(2020),,,,,,,,," 215,000 (2020)",,,Cecil Scott Waine,,,,,,,,,,,,,,,,,,,,,,,,,,,George Creed,Ernest Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar General Corporation,Discount retailer,October 1939,James Luther Turner,Cal Turner,US$,www,.dollargeneral,.com,"Goodlettsville, Tennessee",,Public,,,,, ,US$,3.220 Billion (,"Fiscal Year Ended January 28, 2022",),[6], ,US$,26.327 Billion (,"Fiscal Year Ended January 28, 2022",),[6],"158,000 (2022)",,,, (as J.L. Turner and Son),,,,,,,,,,,,,June 1955, (as Dollar General),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costco Wholesale Corporation,Retail,"Seattle, Washington",James Sinegal,Jeffrey Brotman, US$226.95, ,,,"Issaquah, Washington",,Public,,,billion, (2022), $7.7, ,billion,[2], (2022),, $64.17, ,billion,[2], (2022),," 304,000",[1], (2022),,,Merchandise,Cash & Carry,Warehouse club,Gas stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inter IKEA Systems B.V.,Retail,28 July 1943,Ingvar Kamprad,, €41.9 billion (2021), (retail),,,Delft,,Private,,,,,,,,,,,,,,,,,,,,, in Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casino Guichard-Perrachon S.A.,Mass Retail,1898,Geoffroy Guichard,, €14.41 billion (,www,.groupe-casino,.fr,Saint-Étienne,France,Société Anonyme with a board of directors,,,), €14.61 billion (, €,-,656 million ,(2021),[1],, €30.53 billion ,(2021),[1],,,," 196,307 employees worldwide ",(2021),[1],,,,,,,,,,,,,,,,,,), €2.03 billion (,),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auchan Retail International S.A.,Retail,Roubaix,Gérard Mulliez,,€,auchan-retail.com,,,Croix,Lille Métropole,SA,,,,, €1.6 billion (2020),[1],,,,, €1.169 billion (2020),[1],,,,,"179,590 (2020)",[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suning.com,Retail,1990 (predecessor),Zhang Jindong,, ,suning.cn,,,Nanjing,,Public,,, ,"(US$39.610 billion, 2020)", ,¥−5.015 billion RMB,[1], ,"(US$787 million, 2020)",, ,¥212.075 billion RMB,[1], ,"(US$33.295 billion, 2020)",,"69,398",[2], (2 August 2021),,15 May 1996,,,,,,,,,,,,, (date of incorporation of Suning Domestic Appliance),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP All Public Company Limited,Retail (Convenience stores),7 November 1988; ,Charoen Pokphand Group,,baht,www,.cpall,.co,Bangkok,Thailand,Public,,,,,,,,,,,,,,,,,"35,557 ",(2012),[1],,34 years ago,,,,,,,,,,,,,,,,,,,,,,.th,,,,,,: 50 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceconomy AG,Retail,2017,,,€20.8 billion (2019/20), ,,,Düsseldorf,, (AG),,,,,,,,,,,,,,,,,"46,186 (2019/20)",,,, (original group was founded in 1996),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industria de Diseño Textil, S.A.",Retailing,A Coruña,Amancio Ortega,Rosalía Mera, €20.4 billion (2020),www,.inditex,.com,Arteixo,A Coruña,Sociedad Anónima,,,,, €4.8 billion (2020),[2],,,,, €19.621 billion (2020),[1],,,,," 162,450 (2020) ",[1],,,Galicia,,,,,,,,,,,,,Spain,,,,,,,,,,,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conad,Department store,Bologna,,,,www,.conad,.it,Bologna,Italy,Supermarket,,,,,15.5 Billion ,€, in 2020,[2],,,,,,,,,"65,772 in 2020",[3],,,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Gap, Inc.",Retail,", U.S.",Donald Fisher,Doris F. Fisher, ,gap,.com,gapinc,"San Francisco, California",U.S.,Public company,,,,, ,US$−862 million, (2020),[4],,, ,US$13.769 billion, (2020),[4],,,"117,000 (2021)",[4],,,,,,,,,,,,,,,,,,,,,,,,,.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otto GmbH & Co KG,,,Werner Otto,,14.3 Billion EUR (2019/2020),www,.ottogroup,.com,Hamburg,Germany,Private,,,,,,,,,,,,,,,,,51′982 (2019/2020),[1],,,,,,,,,,,,,,,,,,,,,,,,,/en,/index,,,,,,.php,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nike, Inc.",Apparel,"January 25, 1964",Bill Bowerman,Phil Knight, ,nike.com,,,"Beaverton, Oregon",,Public,Accessories,Sports equipment,US$,46.71 , US$6.86 billion (2022),,,,,, US$40.32 billion (2022),,,,,,c.," 79,100", (May 2022),,,,,,,,,,,,,,,,,,billion, (2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macy's,Retail,"New York, New York",Rowland Hussey Macy,,,macys,.com,,New York City,,Subsidiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AutoZone, Inc.",Retail,"Forrest City, Arkansas",Pitt Hyde,,US$,autozone,.com,,"Memphis, Tennessee",,Public company,,,,, ,US$,2.417 Billion (,"Fiscal Year Ended August 29, 2020",),[1], ,US$,14.423 Billion (,"Fiscal Year Ended August 29, 2020",),[1],"~87,000 (2017)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fomento Económico Mexicano, S.A.B. de C.V.",Beverage,1890,,,MXN$,,,,Monterrey,Nuevo León,Sociedad Anónima Bursátil de Capital Variable,Retail,,,,,,,,,, MXN$637.5 billion ,(2019),,,,,"+230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dm-drogerie markt GmbH + Co. KG,Retail,1973,,,€12.265 billion (2021),dm,.de,,Karlsruhe,Germany,GmbH & Co. KG,,,,,,,,,,,,,,,,,"66,076 (2021)",[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICA Gruppen AB (publ),,1938,,,€,www,.icagruppen,.se,Solna,Stockholm,Private,,,,,,,,,,,,,,,,,"23,000",[1],,,,,,,,,,,,,,,,,,,,,,,,,/en,/,Sweden,,,,,,Aktiebolag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"El Corte Inglés, S.A.",Retail,Madrid,Ramón Areces,César Rodríguez, €15.783 billion , (International),,,Madrid,Spain,Sociedad Anónima,,,,,,,,,,,,,,,,," 90,004 ",(2018),[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
